show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
69832,TV Show,Border Town Prodigal,Wong Chou-kuen,"Zhu Yilong, Zhang Xinyu, Yu Qingbin, Chai Biyun, Jiao Vincent",China,2016-07-18,2016,6.5,1 Seasons,Drama,zh,"Twenty years after the mysterious murder of Bai Tianyu, leader of the Divine Knife sect, in the border town of Plum Nunnery, Fu Hongxue returns from the western regions to uncover the truth about his adopted father’s death. Meanwhile, Bai Tianyu’s biological son, Ye Kai, also arrives at the border town, seeking answers. As hidden truths surface, they find themselves entangled in a web of betrayal, secrets, and unexpected alliances, leading to a dramatic confrontation.",28.068,2,6.5
69302,TV Show,The Other World,"Tilde Harkamp, Lars Kaalund","Kristian De Linde, Caroline Vedel Larsen, Fanny Leander Bornedal, Andreas Jessen, Christine Albeck Børge",Denmark,2016-12-01,2016,0.0,1 Seasons,"Family, Action & Adventure, Sci-Fi & Fantasy, Drama",da,"Danish Christmas calendar TV show about teenage twins Sara and Anna, taking part in a youth theater production of Sleeping Beauty.",20.201,0,0.0
234329,TV Show,Jesus the Game Changer,Simon Hunter,Karl Faase,"Australia, United Kingdom, United States of America",2016-06-01,2016,0.0,1 Seasons,Documentary,en,Christian communicator Karl Faase takes an intellectual look at the evidence for the existence of Jesus and His impact on the world.,22.427,0,0.0
92893,TV Show,Mamoun & Associates,Ramy Imam,"Adel Emam, Lebleba, Khaled Sarhan, Khaled Selim, Tamer Hagras",Egypt,2016-06-06,2016,6.75,1 Seasons,Drama,ar,"In a social and cynical context, the series revolves around Maemon, a very stingy man who has a wife and four kids whom he deprives of everything. After they all leave him, they discover that he's a billionaire. They then start a journey of finding his hidden wealth and how to get hold of it.",21.786,4,6.75
68775,TV Show,Miss in Kiss,Ching-Fang Lin,"Esther Wu, Gong Yi Teng, Wei-Lun Xi, Dino Lee",Taiwan,2016-12-07,2016,6.0,1 Seasons,Comedy,zh,"After an earthquake destroyed Xiang Qin's house, she and her father moved in with the family of her father's college buddy, Uncle Ah Li. To her surprise, the kind and amicable aunt and uncle are the parents of her cold and distant schoolmate Jiang Zhi Shu, a genius with an IQ of 200 whom not too long ago rejected her endless crush on him. Will the close proximity give her a second chance to win Zhi Shu's heart? Or, will her love for him end under his cold words? What happens when there is competition for his heart?",24.338,6,6.0
84536,TV Show,Cinderella Formula,"Takao Kinoshita, Yasushi Ueda","Kotaro Koizumi, Haruna Kawaguchi, Yasuko Tomita, Sayaka Yamaguchi, Yuki Yamada",Japan,2016-10-06,2016,5.5,1 Seasons,Drama,ja,"Tooru Igarashi is a lecturer with charisma, working at a prestigious preparatory school. Recently, he drinks a lot, and his life falls apart. Maki Endo is a student at a part-time high school. Every day, she is exhausted with working multiple jobs to cover her expenses. One day, Tooru and Maki happen to meet each other. Maki wants to graduate high school to get a regular job and asks Tooru to tutor her for her test–retest. After Tooru quit his prep school job, he has lost his pride and passion for teaching but he agrees to teach Maki and get her into the University of Tokyo.",26.883,2,5.5
66387,TV Show,Beautiful Mind,Mo Wan-il,"Jang Hyuk, Park So-dam, Yoon Hyun-min, Park Se-young, Huh Joon-ho",South Korea,2016-06-20,2016,7.5,1 Seasons,"Drama, Mystery",ko,"Lee Young-O is an excellent neurosurgeon with zero sympathy. One day, he becomes involved in bizarre patient deaths. He also falls in love and recovers his humanity.",23.577,17,7.5
67637,TV Show,Hasta que te conocí,"Álvaro Curiel, Rigoberto Castañeda","Julián Román, Dolores Heredia, Ernesto Gómez Cruz, María Rojo, Irán Castillo",Mexico,2016-04-18,2016,8.208,1 Seasons,Drama,es,"""Hasta que Te Conocí"" unravels the life of the Divo de Juárez: Juan Gabriel. Gabriel's extraordinary talent as a singer-songwriter allowed him to rise above poverty, betrayal, and prejudice, eventually making him one the most beloved performers in all of Ibero-America.",24.283,24,8.208
73141,TV Show,Matching! Boys Archery,Nam Gi Hun,"Baek Chul-Min, Kei, Cha Ji Hoon, Jo Jae-yun, Yong Woo",South Korea,2016-08-04,2016,1.7,1 Seasons,Comedy,ko,"Hong Shi Ah wants to become a successful webtoon artist but is stumped for good material for her comics. When she stumbles upon the Boys Archery Club, she is mesmerized by all the good-looking boys who belong to the club. She decides to join the club as the team manager to find inspiration for her work, only to become entangled with two of its members, Joo Seung Joon and Yoo Ji Wan.",22.579,9,1.7
65791,TV Show,My Little Baby,"Lee Soon Ok, Han Cheol-soo","Oh Ji-ho, Kim Min-jae, Son Ji-hyun, Lee Soo-kyung, Jeong Soo-young",South Korea,2016-03-05,2016,5.5,1 Seasons,"Comedy, Drama, Family",ko,"Cha Jung Han is a detective for a special investigation team. He is busy with investigating violent cases including drugs and gangs, but one day he takes in his niece, Eun Ae and struggles to raise her. Meanwhile, Han Ye Seul is a single mother who raises her 5-years-old son alone. She is Cha Jung-Han’s first love.",21.912,12,5.5
